X,benefit
0.0,0.0
0.005,-19.650000000000002
0.01,-39.000000000000036
0.015,-58.05000000000002
0.02,-76.80000000000004
0.025,-95.25000000000009
0.03,-113.39999999999992
0.035,-131.24999999999994
0.04,-148.79999999999993
0.045,-166.04999999999995
0.05,-183.0
0.055,-199.65
0.06,-216.00000000000003
0.065,-232.05
0.07,-247.8
0.075,-263.25000000000006
0.08,-278.4000000000001
0.085,-293.2500000000001
0.09,-307.8
0.095,-322.05
0.1,-336.00000000000006
0.105,-349.65
0.11,-363.0
0.115,-376.05000000000007
0.12,-388.79999999999995
0.125,-401.25
0.13,-413.40000000000003
0.135,-425.25000000000006
0.14,-436.8
0.145,-448.04999999999995
0.15,-459.00000000000006
0.155,-469.6500000000001
0.16,-480.0
0.165,-490.05000000000007
0.17,-499.80000000000007
0.17500000000000002,-509.25000000000006
0.18,-518.4
0.185,-527.25
0.19,-535.8000000000001
0.195,-544.0500000000001
0.2,-552.0000000000001
0.20500000000000002,-559.6500000000001
0.21,-567.0
0.215,-574.0500000000001
0.22,-580.8000000000001
0.225,-587.25
0.23,-593.4000000000001
0.23500000000000001,-599.25
0.24,-604.8
0.245,-610.05
0.25,-615.0
0.255,-619.6500000000001
0.26,-624.0
0.265,-628.0500000000001
0.27,-631.8000000000001
0.275,-635.2500000000001
0.28,-638.4000000000001
0.28500000000000003,-641.2500000000001
0.29,-643.8000000000001
0.295,-646.0500000000001
0.3,-648.0000000000001
0.305,-649.6500000000001
0.31,-651.0000000000001
0.315,-652.0500000000001
0.32,-652.8000000000001
0.325,-653.2500000000001
0.33,-653.4000000000001
0.335,-653.2500000000001
0.34,-652.8000000000001
0.34500000000000003,-652.0500000000001
0.35000000000000003,-651.0000000000001
0.355,-649.6500000000001
0.36,-648.0000000000001
0.365,-646.0500000000001
0.37,-643.8000000000001
0.375,-641.2500000000001
0.38,-638.4000000000001
0.385,-635.2500000000001
0.39,-631.8000000000001
0.395,-628.0500000000001
0.4,-624.0
0.405,-619.6500000000001
0.41000000000000003,-615.0
0.41500000000000004,-610.05
0.42,-604.8000000000001
0.425,-599.2500000000001
0.43,-593.4000000000001
0.435,-587.2500000000001
0.44,-580.8000000000001
0.445,-574.0500000000001
0.45,-567.0000000000001
0.455,-559.6500000000001
0.46,-552.0000000000001
0.465,-544.0500000000001
0.47000000000000003,-535.8000000000001
0.47500000000000003,-527.25
0.48,-518.4000000000001
0.485,-509.2500000000001
0.49,-499.80000000000007
0.495,-490.0500000000001
0.5,-480.0000000000001
0.505,-469.6500000000001
0.51,-459.00000000000006
0.515,-448.0500000000001
0.52,-436.8
0.525,-425.25000000000006
0.53,-413.40000000000003
0.535,-401.25
0.54,-388.79999999999995
0.545,-376.05000000000007
0.55,-363.0
0.555,-349.65
0.56,-335.99999999999994
0.5650000000000001,-322.04999999999995
0.5700000000000001,-307.79999999999995
0.5750000000000001,-293.24999999999994
0.58,-278.4000000000002
0.585,-263.2500000000002
0.59,-247.80000000000018
0.595,-232.05000000000018
0.6,-216.0000000000002
0.605,-199.65000000000015
0.61,-183.00000000000017
0.615,-166.05000000000013
0.62,-148.8000000000001
0.625,-131.2500000000001
0.63,-113.40000000000009
0.635,-95.25000000000009
0.64,-76.80000000000004
0.645,-58.05000000000002
0.65,-39.000000000000036
0.655,-19.650000000000002
0.66,0.0
0.665,19.950000000000053
0.67,40.20000000000007
0.675,60.75000000000006
0.68,81.6000000000001
0.685,102.75000000000009
0.6900000000000001,124.20000000000006
0.6950000000000001,145.95000000000016
0.7000000000000001,168.00000000000023
0.705,190.34999999999977
0.71,212.99999999999977
0.715,235.94999999999973
0.72,259.1999999999997
0.725,282.7499999999998
0.73,306.5999999999998
0.735,330.7499999999998
0.74,355.19999999999976
0.745,379.9499999999999
0.75,404.9999999999998
0.755,430.3499999999998
0.76,455.99999999999983
0.765,481.95
0.77,508.1999999999999
0.775,534.75
0.78,561.6
0.785,588.75
0.79,616.2
0.795,643.9500000000002
0.8,672.0000000000002
0.805,700.35
0.81,729.0000000000002
0.8150000000000001,757.9500000000002
0.8200000000000001,787.2000000000003
0.8250000000000001,816.7500000000003
0.8300000000000001,846.6
0.835,876.7499999999993
0.84,907.2
0.845,937.9499999999992
0.85,969.0000000000002
0.855,1000.3499999999995
0.86,1032.0000000000002
0.865,1063.9499999999994
0.87,1096.2000000000003
0.875,1128.7499999999995
0.88,1161.6000000000004
0.885,1194.7499999999995
0.89,1228.2000000000003
0.895,1261.9499999999996
0.9,1296.0000000000005
0.905,1330.3499999999997
0.91,1365.0000000000005
0.915,1399.9499999999996
0.92,1435.2000000000005
0.925,1470.75
0.93,1506.6000000000006
0.935,1542.75
0.9400000000000001,1579.2000000000005
0.9450000000000001,1615.9499999999998
0.9500000000000001,1653.000000000001
0.9550000000000001,1690.35
0.96,1727.999999999999
0.965,1765.95
0.97,1804.1999999999991
0.975,1842.7500000000002
0.98,1881.5999999999992
0.985,1920.7500000000002
0.99,1960.1999999999994
0.995,1999.9500000000003
1.0,2039.9999999999995
